74,Bet You Wanna (feat. Cardi B),BLACKPINK,1129395,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
75,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1112733,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
76,lovely (with Khalid),Billie Eilish,1106677,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
77,Kings & Queens,Ava Max,1094024,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
78,Robbery,Juice WRLD,1090161,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
79,Intentions (feat. Quavo),Justin Bieber,1088196,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
80,Train Wreck,James Arthur,1083231,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
81,ily (i love you baby) (feat. Emilee),Surf Mesa,1076319,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
82,Runnin,21 Savage,1075304,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
83,Falling,Trevor Daniel,1071368,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
84,HIGHEST IN THE ROOM,Travis Scott,1065803,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
85,Diamonds,Sam Smith,1065102,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
86,Break My Heart,Dua Lipa,1051635,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
87,bad guy,Billie Eilish,1050219,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
88,Mr. Right Now (feat. Drake),21 Savage,1049268,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
89,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1044229,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
90,Shallow,Lady Gaga,1036801,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
